Order_ID,Customer_ID,Product_ID,Order_Date,Sales
CA-2017-152156,CG-12520,FUR-BO-10001798,08/11/2017,261.96
CA-2017-152156,CG-12520,FUR-CH-10000454,08/11/2017,731.94
CA-2017-138688,DV-13045,OFF-LA-10000240,12/06/2017,14.62
US-2016-108966,SO-20335,FUR-TA-10000577,11/10/2016,957.5775
US-2016-108966,SO-20335,OFF-ST-10000760,11/10/2016,22.368
CA-2015-115812,BH-11710,FUR-FU-10001487,09/06/2015,48.86
CA-2015-115812,BH-11710,OFF-AR-10002833,09/06/2015,7.28
CA-2015-115812,BH-11710,TEC-PH-10002275,09/06/2015,907.152
CA-2015-115812,BH-11710,OFF-BI-10003910,09/06/2015,18.504
CA-2015-115812,BH-11710,OFF-AP-10002892,09/06/2015,114.9
CA-2015-115812,BH-11710,FUR-TA-10001539,09/06/2015,1706.184
CA-2015-115812,BH-11710,TEC-PH-10002033,09/06/2015,911.424
CA-2018-114412,AA-10480,OFF-PA-10002365,15/04/2018,15.552
CA-2017-161389,IM-15070,OFF-BI-10003656,05/12/2017,407.976
US-2016-118983,HP-14815,OFF-AP-10002311,22/11/2016,68.81
US-2016-118983,HP-14815,OFF-BI-10000756,22/11/2016,2.544
CA-2015-105893,PK-19075,OFF-ST-10004186,11/11/2015,665.88
CA-2015-167164,AG-10270,OFF-ST-10000107,13/05/2015,55.5
CA-2015-143336,ZD-21925,OFF-AR-10003056,27/08/2015,8.56
CA-2015-143336,ZD-21925,TEC-PH-10001949,27/08/2015,213.48
CA-2015-143336,ZD-21925,OFF-BI-10002215,27/08/2015,22.72
CA-2017-137330,KB-16585,OFF-AR-10000246,09/12/2017,19.46
CA-2017-137330,KB-16585,OFF-AP-10001492,09/12/2017,60.34
US-2018-156909,SF-20065,FUR-CH-10002774,16/07/2018,71.372
CA-2016-106320,EB-13870,FUR-TA-10000577,25/09/2016,1044.63
CA-2017-121755,EH-13945,OFF-BI-10001634,16/01/2017,11.648
CA-2017-121755,EH-13945,TEC-AC-10003027,16/01/2017,90.57
US-2016-150630,TB-21520,FUR-BO-10004834,17/09/2016,3083.43
US-2016-150630,TB-21520,OFF-BI-10000474,17/09/2016,9.618
US-2016-150630,TB-21520,FUR-FU-10004848,17/09/2016,124.2
US-2016-150630,TB-21520,OFF-EN-10001509,17/09/2016,3.264
US-2016-150630,TB-21520,OFF-AR-10004042,17/09/2016,86.304
US-2016-150630,TB-21520,OFF-BI-10001525,17/09/2016,6.858
US-2016-150630,TB-21520,OFF-AR-10001683,17/09/2016,15.76
CA-2018-107727,MA-17560,OFF-PA-10000249,19/10/2018,29.472
CA-2017-117590,GH-14485,TEC-PH-10004977,08/12/2017,1097.544
CA-2017-117590,GH-14485,FUR-FU-10003664,08/12/2017,190.92
CA-2016-117415,SN-20710,OFF-EN-10002986,27/12/2016,113.328
CA-2016-117415,SN-20710,FUR-BO-10002545,27/12/2016,532.3992
CA-2016-117415,SN-20710,FUR-CH-10004218,27/12/2016,212.058
CA-2016-117415,SN-20710,TEC-PH-10000486,27/12/2016,371.168
CA-2018-120999,LC-16930,TEC-PH-10004093,10/09/2018,147.168
CA-2017-101343,RA-19885,OFF-ST-10003479,17/07/2017,77.88
CA-2018-139619,ES-14080,OFF-ST-10003282,19/09/2018,95.616
CA-2017-118255,ON-18715,TEC-AC-10000171,11/03/2017,45.98
CA-2017-118255,ON-18715,OFF-BI-10003291,11/03/2017,17.46
CA-2015-146703,PO-18865,OFF-ST-10001713,20/10/2015,211.96
CA-2017-169194,LH-16900,TEC-AC-10002167,20/06/2017,45
CA-2017-169194,LH-16900,TEC-PH-10003988,20/06/2017,21.8
CA-2016-115742,DP-13000,OFF-BI-10004410,18/04/2016,38.22
CA-2016-115742,DP-13000,OFF-LA-10002762,18/04/2016,75.18
CA-2016-115742,DP-13000,FUR-FU-10001706,18/04/2016,6.16
CA-2016-115742,DP-13000,FUR-CH-10003061,18/04/2016,89.99
CA-2017-105816,JM-15265,OFF-FA-10000304,11/12/2017,15.26
CA-2017-105816,JM-15265,TEC-PH-10002447,11/12/2017,1029.95
CA-2017-111682,TB-21055,OFF-ST-10000604,17/06/2017,208.56
CA-2017-111682,TB-21055,OFF-PA-10001569,17/06/2017,32.4
CA-2017-111682,TB-21055,FUR-CH-10003968,17/06/2017,319.41
CA-2017-111682,TB-21055,OFF-PA-10000587,17/06/2017,14.56
CA-2017-111682,TB-21055,TEC-AC-10002167,17/06/2017,30
CA-2017-111682,TB-21055,OFF-BI-10001460,17/06/2017,48.48
CA-2017-111682,TB-21055,OFF-AR-10001868,17/06/2017,1.68
CA-2016-135545,KM-16720,TEC-AC-10004633,24/11/2016,13.98
CA-2016-135545,KM-16720,OFF-BI-10001078,24/11/2016,25.824
CA-2016-135545,KM-16720,OFF-PA-10003892,24/11/2016,146.73
CA-2016-135545,KM-16720,FUR-FU-10000397,24/11/2016,79.76
US-2016-164175,PS-18970,FUR-CH-10001146,30/04/2016,213.115
CA-2015-106376,BS-11590,OFF-AR-10002671,05/12/2015,1113.024
CA-2015-106376,BS-11590,TEC-PH-10002726,05/12/2015,167.968
CA-2017-119823,KD-16270,OFF-PA-10000482,04/06/2017,75.88
CA-2017-106075,HM-14980,OFF-BI-10004654,18/09/2017,4.616
CA-2018-114440,TB-21520,OFF-PA-10004675,14/09/2018,19.05
US-2016-134026,JE-15745,FUR-CH-10000513,26/04/2016,831.936
US-2016-134026,JE-15745,FUR-FU-10003708,26/04/2016,97.04
US-2016-134026,JE-15745,OFF-ST-10004123,26/04/2016,72.784
US-2018-118038,KB-16600,OFF-BI-10004182,09/12/2018,1.248
US-2018-118038,KB-16600,FUR-FU-10000260,09/12/2018,9.708
US-2018-118038,KB-16600,OFF-ST-10000615,09/12/2018,27.24
US-2015-147606,JE-15745,FUR-FU-10003194,26/11/2015,19.3
CA-2017-127208,SC-20770,OFF-AP-10002118,12/06/2017,208.16
CA-2017-127208,SC-20770,OFF-BI-10002309,12/06/2017,16.74
CA-2015-139451,DN-13690,OFF-AR-10002053,12/10/2015,14.9
CA-2015-139451,DN-13690,OFF-ST-10002370,12/10/2015,21.39
CA-2016-149734,JC-16105,OFF-EN-10000927,03/09/2016,200.984
US-2018-119662,CS-12400,OFF-ST-10003656,13/11/2018,230.376
CA-2018-140088,PO-18865,FUR-CH-10000863,28/05/2018,301.96
CA-2018-155558,PG-18895,TEC-AC-10001998,26/10/2018,19.99
CA-2018-155558,PG-18895,OFF-LA-10000134,26/10/2018,6.16
CA-2017-159695,GM-14455,OFF-ST-10003442,05/04/2017,158.368
CA-2017-109806,JS-15685,OFF-AR-10004930,17/09/2017,20.1
CA-2017-109806,JS-15685,TEC-PH-10004093,17/09/2017,73.584
CA-2017-109806,JS-15685,OFF-PA-10000304,17/09/2017,6.48
CA-2016-149587,KB-16315,OFF-PA-10003177,31/01/2016,12.96
CA-2016-149587,KB-16315,FUR-FU-10003799,31/01/2016,53.34
CA-2016-149587,KB-16315,OFF-BI-10002852,31/01/2016,32.96
US-2018-109484,RB-19705,OFF-BI-10004738,06/11/2018,5.682
CA-2018-161018,PN-18775,FUR-FU-10000629,09/11/2018,96.53
CA-2018-157833,KD-16345,OFF-BI-10001721,17/06/2018,51.312
CA-2017-149223,ER-13855,OFF-AP-10000358,06/09/2017,77.88
CA-2017-158568,RB-19465,OFF-PA-10003256,29/08/2017,64.624
CA-2017-158568,RB-19465,TEC-AC-10001767,29/08/2017,95.976
CA-2017-158568,RB-19465,OFF-BI-10002609,29/08/2017,1.788
CA-2017-129903,GZ-14470,OFF-PA-10004040,01/12/2017,23.92
US-2016-156867,LC-16870,TEC-AC-10001552,13/11/2016,238.896
US-2016-156867,LC-16870,FUR-FU-10004006,13/11/2016,102.36
US-2016-156867,LC-16870,OFF-BI-10002794,13/11/2016,36.882
